Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per items
bestar-lyra-tv-stand-black-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/pByQG8DHCKqYn7s3UzIiaAP01w589sH3.jpeg,7,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-tv-stand-black-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/40d1B3U7426dS6Ily41J8pYu3K6AOP65.jpeg,8,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-tv-stand-black-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/10/g1j2H846e57h66p7eU6RE9ggsH1rb7kI.jpeg,9,,,,,,,,,,,,,,,,,,,,,
bestar-lucida-coffee-table-rustic-brown-&-white,Bestar Lucida Coffee Table - Rustic Brown & White,"<h4>Description</h4>
<p>items Included</p>
<ul>
<li>Coffee Table</li>
</ul>
<meta charset=""utf-8"">
<p><span>Bring on a sophisticated contemporary look to your living room or media room with elegant pieces from the Lucida  collection. The collection features furniture with metal legs or handles with matte silver finish, clean geometric shapes, and crisp lines. Asymmetric details such as metal legs on one side add a dynamic twist to the furniture. The pieces in this collection are well designed and sturdy and can be integrated seamlessly into your decor to showcase your space. QUALITY MATERIALS: Made from laminated, high-density commercial-grade particle board, compliant with TSCA Title VI, with a 1” thick melamine top. 2 square steel legs on one side. </span></p>
<h4>Dimensions</h4>
<h4>Specifications</h4>
<ul>
<li>GOOD STORAGE: 5 open storage compartments. One compartment is 20” W x 19. 5” D x 12. 2 adjustable shelves allow you to change the dimensions of the 4 shallow compartments. </li>
<li>STURDY: each shelf can support up to 30 lb of distributed weight, the top can support up to 80 lb. Finished back. Ideal for storing electronic devices, magazines, board games or even children’s toys!5-YEAR LIMITED WARRANTY: Warranted to the original owner against defects in materials or workmanship. Easy return policy. Meets or exceeds ANSI/BIFMA safety and performance standards. </li>
<li>NOTE: 2 people are required for assembly. Matching items from the same collection available. </li>
</ul>",Pending - Bestar,Coffee Table,"Bestar, Brand_Modubox, Made In_Canada, Colour_Rustic Brown",FALSE,Colour,Rustic Brown & White,,,,,105160-000009,30390.664,shopify,1,deny,manual,0.0,0.0,TRUE,TRUE,'063753059978,https://bob.bestar.ca/media/2020/05/0N9I2efk85U16ndJ5s6m5tEXOz8XhL1S.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,lb,,
bestar-lucida-coffee-table-rustic-brown-&-white,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2020/05/xxv2L046HNE6Li4tBgbwnTkxW2Bq39xZ.jpeg,2,,,,,,,,,,,,,,,,,,,,,
bestar-lucida-coffee-table-rustic-brown-&-white,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2020/05/OrpcT1AiC352eAGttqKhs6o16AicBp1m.jpeg,3,,,,,,,,,,,,,,,,,,,,,
bestar-lucida-coffee-table-rustic-brown-&-white,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2020/05/3kjBkHfGa31tldjJ1Bd8Jt35pyzTe1X4.jpeg,4,,,,,,,,,,,,,,,,,,,,,
bestar-lucida-coffee-table-rustic-brown-&-white,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2020/05/9jwlP0DEiKCxJdr969y496649a9rfqu5.jpeg,5,,,,,,,,,,,,,,,,,,,,,
bestar-lucida-coffee-table-rustic-brown-&-white,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2020/05/278r5tczYKTVl4K441WmZjK454FL1sOi.jpeg,6,,,,,,,,,,,,,,,,,,,,,
bestar-lucida-coffee-table-rustic-brown-&-white,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2020/05/018KBZOAi1kuCSZqK6zdoQtMDi5skavq.jpeg,7,,,,,,,,,,,,,,,,,,,,,
bestar-lucida-coffee-table-rustic-brown-&-white,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2020/05/aVNuX4OS7B1rCAW66GStoDOi3S6Jt3LL.jpeg,8,,,,,,,,,,,,,,,,,,,,,
