Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
alga-tv-stand-white-walnut-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-alga-tv-stand-white-walnut-brown-15909434490942.jpg?v=1596144055,7,Pending - Bestar Alga TV Stand - White & Walnut Brown,,,,,,,,,,,,,,,,,,,,
alga-tv-stand-white-walnut-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-alga-tv-stand-white-walnut-brown-15909436031038.jpg?v=1596144055,8,Pending - Bestar Alga TV Stand - White & Walnut Brown,,,,,,,,,,,,,,,,,,,,
alga-tv-stand-white-walnut-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-alga-tv-stand-white-walnut-brown-15909436457022.jpg?v=1596144055,9,Pending - Bestar Alga TV Stand - White & Walnut Brown,,,,,,,,,,,,,,,,,,,,
alga-tv-stand-white-walnut-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-alga-tv-stand-white-walnut-brown-15909437014078.jpg?v=1596144055,10,Pending - Bestar Alga TV Stand - White & Walnut Brown,,,,,,,,,,,,,,,,,,,,
auva-bookcase-buffalo-brown,Auva Bookcase - Available in 2 Colours,"<h4>Description</h4>
<p>Items Included</p>
<ul>
<li>Bookcase</li>
</ul>
<p>Our multipurpose bookcase is the perfect display or storage solution for any living space. It can be used for various functionalities, such as storing books and towels, or accentuating your space by displaying large decorative items, such as vases, picture frames and plants. The bookcase is solid and built to last. Its open and closed storage areas were built in order to safely support your belongings. In addition, the drawer increase your space and storage options.</p>
<h4>Dimensions</h4>
<p>35.4""W x 131""D x 67.7""H</p>
<h4>Specifications</h4>
<ul>
<li>MODERN DESIGN: With its minimalist design, clean architectural lines, as well as use of neutral colours and metal, this asymmetrical bookshelf will give a modern look to any room.</li>
<li>GOOD STORAGE: 1 closed storage area, 1 drawer, and 8 open storage areas to maximize your storage options.</li>
<li>VERSATILE: This multipurpose bookcase will embellish any room: living room, dining room, bedroom, home office, etc.</li>
<li>LARGE SIZE: This shelving unit provides plenty of space to showcase your vases, picture frames, keepsakes, candles, plants, etc.</li>
<li>NOTE: Assembly required. 35.4″ W x 13.8″ D x 68.1″ H. Commercial grade melamine compliant with Carb phase 2 and black metal legs. 1- Year limited warranty.</li>
</ul>",Modubox,Bookcase,"Bestar, Brand_Modubox, Colour_Brown, Made In_Canada, Room_Accents, Style_Contemporary, Style_Modern, Type_Bookcase",true,Colour,Buffalo Brown,,,,,103700-000004,50802.34544,shopify,26,deny,manual,372.99,639.99,true,true,'063753057974,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-auva-bookcase-buffalo-brown-15909466931262.jpg?v=1598641767,1,Pending - Bestar Auva Bookcase - Buffalo Brown,false,Modubox Auva Bookcase - Buffalo Brown,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-auva-bookcase-buffalo-brown-15909466931262.jpg?v=1598641767,lb,,
auva-bookcase-buffalo-brown,,,,,,,,Maple Brown,,,,,103700-000005,50802.34544,shopify,3,deny,manual,372.99,639.99,true,true,'063753058001,https://cdn.shopify.com/s/files/1/2313/3837/products/modubox-bookcase-auva-bookcase-available-in-2-colours-16174336278590.jpg?v=1598641767,2,Modubox Bookcase Auva Bookcase - Available in 2 Colours,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/modubox-bookcase-auva-bookcase-available-in-2-colours-16174336278590.jpg?v=1598641767,lb,,
auva-bookcase-buffalo-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-auva-bookcase-buffalo-brown-15909467455550.jpg?v=1598641767,3,Pending - Bestar Auva Bookcase - Buffalo Brown,,,,,,,,,,,,,,,,,,,,
auva-bookcase-buffalo-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-bestar-auva-bookcase-buffalo-brown-15801138151486.jpg?v=1598641767,4,Pending - Bestar Bestar Auva Bookcase - Buffalo Brown,,,,,,,,,,,,,,,,,,,,
auva-bookcase-buffalo-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-auva-bookcase-buffalo-brown-15909468340286.jpg?v=1598641767,5,Pending - Bestar Auva Bookcase - Buffalo Brown,,,,,,,,,,,,,,,,,,,,
auva-bookcase-buffalo-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-auva-bookcase-buffalo-brown-15909469945918.jpg?v=1598641767,6,Pending - Bestar Auva Bookcase - Buffalo Brown,,,,,,,,,,,,,,,,,,,,
auva-bookcase-buffalo-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-auva-bookcase-buffalo-brown-15909469257790.jpg?v=1598641767,7,Pending - Bestar Auva Bookcase - Buffalo Brown,,,,,,,,,,,,,,,,,,,,
auva-bookcase-buffalo-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/modubox-bookcase-auva-bookcase-available-in-2-colours-16174337818686.jpg?v=1598641767,8,Modubox Bookcase Auva Bookcase - Available in 2 Colours,,,,,,,,,,,,,,,,,,,,
